Time Since Start,Pressure,Flow,Apparent Power Ext,Apparent Power Int,Active Power Ext,Active Power Int,Reactive Power Ext,Reactive Power Int,World Time
228,5.471118,0.540194,536.5174,23.53854,536.4217,11.540625,31.5021,-15.133328,12:00.2
229,5.471045,0.540194,535.9858,23.55682,536.0272,11.569281,31.55506,-15.196045,12:01.2
230,5.471106,0.5403161,535.4959,23.61501,535.5257,11.99394,31.74574,-15.185494,12:02.2
231,5.47107,0.540194,535.7589,23.69267,535.7442,11.855435,31.82079,-15.256556,12:03.2
232,5.471082,0.540255,535.1991,23.70543,535.2639,12.038678,31.60161,-15.14892,12:04.2
233,5.47107,0.540194,534.5787,23.59628,534.6012,12.048485,31.42875,-15.089902,12:05.2
234,5.471082,0.540194,534.6707,23.58954,534.6707,11.979493,31.42881,-15.130441,12:06.2
235,5.471094,0.540194,534.9833,23.61968,535.0845,11.773657,31.57601,-15.054804,12:07.2
236,5.471143,0.540194,535.3149,23.65176,535.2938,11.275968,31.76388,-14.86051,12:08.2
237,5.471118,0.540194,535.2105,23.63245,535.182,11.51499,31.49274,-15.215496,12:09.2
238,5.471057,0.540194,534.9224,23.667,534.9355,11.940692,31.27224,-15.269362,12:10.2
239,5.471118,0.540194,534.5648,23.67198,534.541,11.466519,31.4036,-15.092701,12:11.2
240,5.471118,0.540194,533.9578,23.59636,534.0017,11.737574,31.42884,-15.019919,12:12.2
241,5.471021,0.540194,533.3826,23.54308,533.3876,12.01814,31.54585,-15.13908,12:13.2
242,5.471045,0.540194,533.9405,23.56793,533.8852,11.907681,31.62295,-15.120447,12:14.2
243,5.47107,0.540194,534.4882,23.66412,534.5686,12.094409,31.48116,-15.054926,12:15.2
244,5.471118,0.540194,534.0767,23.66386,534.1136,11.999285,31.5159,-14.726544,12:16.2
245,5.470996,0.540194,533.658,23.58159,533.6345,11.908612,31.42892,-14.76114,12:17.2
246,5.471143,0.5401939,533.6557,23.58429,533.6174,11.956973,31.42889,-15.13898,12:18.3
247,5.471131,0.540194,461.7153,23.65213,419.453,12.001185,32.03653,-15.146453,12:19.3
248,5.471094,0.540194,172.4499,23.71366,140.9584,11.931559,31.29485,-15.175983,12:20.3
249,5.456861,1.537142,35.39921,23.78346,16.63735,11.793851,29.87832,-15.182503,12:21.3
